-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                       aten::layer_norm         0.00%     460.602us         0.18%      17.684ms     707.372us           0 b           0 b     470.58 Mb           0 b            25  
                                aten::native_layer_norm         0.03%       3.065ms         0.18%      17.224ms     688.948us           0 b           0 b     470.58 Mb           0 b            25  
                                            aten::empty         1.01%      98.293ms         1.07%     104.360ms       5.288us      18.31 Gb      18.31 Gb     190.70 Gb     190.70 Gb         19734  
                                       cudaLaunchKernel        43.22%        4.200s        43.22%        4.200s     106.240us           0 b           0 b           0 b           0 b         39534  
                                             aten::view         0.02%       1.523ms         0.02%       1.523ms       2.841us           0 b           0 b           0 b           0 b           536  
                                           aten::linear         0.02%       1.821ms         2.87%     278.657ms       2.284ms           0 b           0 b       1.74 Gb           0 b           122  
                                               aten::to         0.01%       1.147ms         0.85%      82.692ms     113.432us      18.75 Mb           0 b       1.84 Gb           0 b           729  
                                         aten::_to_copy         0.04%       3.829ms         0.84%      81.545ms     178.435us      18.75 Mb           0 b       1.84 Gb           0 b           457  
                                    aten::empty_strided         0.06%       5.679ms         0.22%      21.779ms      27.708us      18.75 Mb      18.75 Mb       3.14 Gb       3.14 Gb           786  
                                            aten::copy_         0.93%      90.334ms         8.48%     823.780ms      41.599us           0 b           0 b           0 b           0 b         19803  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 9.717s
