-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                           aten::linear         0.01%       1.367ms         1.53%     153.010ms       1.561ms           0 b           0 b       1.29 Gb           0 b            98  
                                               aten::to         0.01%     747.769us         0.84%      83.807ms     132.396us      18.75 Mb           0 b       2.66 Gb           0 b           633  
                                         aten::_to_copy         0.03%       3.058ms         0.83%      83.059ms     203.078us      18.75 Mb           0 b       2.66 Gb           0 b           409  
                                    aten::empty_strided         0.05%       5.075ms         0.09%       9.466ms      14.744us      18.75 Mb      18.75 Mb       3.99 Gb       3.99 Gb           642  
                                            aten::copy_         1.08%     108.356ms         9.15%     916.270ms      46.253us           0 b           0 b           0 b           0 b         19810  
                                       cudaLaunchKernel        44.39%        4.447s        44.39%        4.447s     113.016us           0 b           0 b           0 b           0 b         39351  
                                          aten::reshape         0.01%     924.584us         0.20%      20.413ms      73.694us           0 b           0 b     515.62 Mb           0 b           277  
                                             aten::view         0.01%       1.032ms         0.01%       1.032ms       2.476us           0 b           0 b           0 b           0 b           417  
                                                aten::t         0.01%     547.252us         0.01%       1.272ms       5.553us           0 b           0 b           0 b           0 b           229  
                                        aten::transpose         0.01%     991.280us         0.01%       1.376ms       3.729us           0 b           0 b           0 b           0 b           369  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 10.018s
