U2UT Model Training 

Baseline parameters

d_model = 512, num_layers (encoder) = 6,  num_layers (decoder) = 2, d_ff = 1024
n_heads = 4, kernel_size = 31, dropout = 0.1, input_dim = 512, vocab_size = 500,
hidden_size = 512, pos_encoding = True (Self Attention), False (Cross Attention), 
rnn_dim = 512 (LSTM based), Adam optimizer, lr = 1e-4, cross enthropy loss function,
batch_size = 16, shuffle = True, Total epochs = 26; synthesizer = LSTM based

seed = 42; sequence_len = 600; 

Note all others have head set to 4 except otherwise

a - f ---> Ablation studies Part A                                                                                                 g - h ---> Ablation studies Part B
                     a                b                 c                  d                    e                   f                         g                       h
                  joint full                         joint full        joint full           joint full           PE = False     |       with GRU Based           with GRU Based
epochs        MHSA with h = 4    Without FF        MHSA with h = 8     MHSA with h = 2      MHSA with h = 1      without PE             Phoneme Decoder          Phoneme Decoder
                                    h = 4                                                                                                h = 4 (joint)            h = 2 (joint)                                                       
                                                   
TL epoch 1       5.8046             5.7820           5.7968              5.8013                5.8015              5.7873                  5.7938                    5.7888
TA epoch 1       0.0323             0.0326           0.0341              0.0314                0.0327              0.0329                  0.0342                    0.0352
VL epoch 1       5.6731             5.6602           5.6679              5.6717                5.6680              5.6680                  5.6703                    5.6725
VA epoch 1       0.0111             0.0111           0.0111              0.0111                0.0111              0.0111                  0.0111                    0.0111

TL epoch 2       5.4051             5.4037           5.4047              5.4031                5.4039              5.4026                  5.3526                    5.3580
TA epoch 2       0.0349             0.0350           0.0349              0.0349                0.0350              0.0349                  0.0392                    0.0382
VL epoch 2       5.6249             5.6236           5.6243              5.6242                5.6236              5.6248                  5.5746                    5.5849
VA epoch 2       0.0118             0.0132           0.0121              0.0119                0.0126              0.0111                  0.0325                    0.0181


TL epoch 3       5.3857             5.3849           5.3851              5.3847                5.3846              5.3844                  5.1877                    5.2158
TA epoch 3       0.0380             0.0381           0.0383              0.0380                0.0382              0.0378                  0.0646                    0.0587
VL epoch 3       5.6224             5.6230           5.6254              5.6229                5.6241              5.6246                  5.4559                    5.4780
VA epoch 3       0.0151             0.0151           0.0151              0.0151                0.0151              0.0151                  0.0520                    0.0448

TL epoch 4       5.3756             5.3746           5.3770              5.3746                5.3744              5.3743                  5.0103                    5.0490
TA epoch 4       0.0390             0.0390           0.0390              0.0390                0.0390              0.0390                  0.0867                    0.0788
VL epoch 4       5.6123             5.6138           5.6144              5.6122                5.6153              5.6132                  5.2911                    5.3397
VA epoch 4       0.0151             0.0151           0.0151              0.0151                0.0151              0.0151                  0.0569                    0.0518

TL epoch 5       5.3697             5.3685           5.3715              5.3686                5.3682              5.3677                  4.8210                    4.8807
TA epoch 5       0.0391             0.0391           0.0391              0.0392                0.0390              0.0391                  0.1033                    0.0990
VL epoch 5       5.6119             5.6100           5.6100              5.6088                5.6154              5.6130                  5.1159                    5.1928
VA epoch 5       0.0150             0.0150           0.0150              0.0150                0.0150              0.0150                  0.0655                    0.0615

TL epoch 6       5.3656             5.3650           5.3669              5.3634                5.3640              5.3629                  4.6349                    4.7144
TA epoch 6       0.0391             0.0390           0.0389              0.0393                0.0390              0.0390                  0.1226                    0.1181
VL epoch 6       5.6116             5.6095           5.6102              5.6053                5.6063              5.6074                  4.9438                    5.0259
VA epoch 6       0.0147             0.0147           0.0147              0.0152                0.0153              0.0149                  0.0838                    0.0812 

TL epoch 7       5.3621             5.3612           5.3633              5.3606                5.3608              5.3596                  4.4670                    4.5414
TA epoch 7       0.0393             0.0390           0.0389              0.0392                0.0393              0.0393                  0.1458                    0.1380
VL epoch 7       5.6053             5.6037           5.6064              5.6095                5.6088              5.6060                  4.7887                    4.8559
VA epoch 7       0.0153             0.0152           0.0152              0.0151                0.0155              0.0154                  0.0998                    0.0966

TL epoch 8       5.3577             5.3570           5.3597              5.3569                5.3559              5.3561                  4.3083                    4.3696
TA epoch 8       0.0395             0.0392           0.0393              0.0398                0.0402              0.0397                  0.1669                    0.1598
VL epoch 8       5.5970             5.5989           5.6021              5.6071                5.6051              5.6012                  4.6359                    4.6894
VA epoch 8       0.0159             0.0158           0.0156              0.0156                0.0158              0.0160                  0.1177                    0.1156

TL epoch 9       5.3534             5.3517           5.3561              5.3476                5.3502              5.3511                  4.1697                    4.2103
TA epoch 9       0.0402             0.0396           0.0396              0.0409                0.0403              0.0403                  0.1835                    0.1811
VL epoch 9       5.5973             5.5993           5.6019              5.5969                5.6024              5.5968                  4.5135                    4.5494
VA epoch 9       0.0163             0.0157           0.0157              0.0157                0.0156              0.0164                  0.1319                    0.1297


TL epoch 10      5.3467             5.3446           5.3535              5.3327                5.3440              5.3426                  4.0476                    4.0646
TA epoch 10      0.0404             0.0397           0.0398              0.0409                0.0408              0.0405                  0.2044                    0.2054
VL epoch 10      5.5973             5.5960           5.6038              5.5922                5.5935              5.5949                  4.3919                    4.4018
VA epoch 10      0.0158             0.0157           0.0157              0.0156                0.0160              0.0160                  0.1472                    0.1465


TL epoch 11      5.3309             5.3297           5.3478              5.3089                5.3326              5.3243                  3.9284                    3.9226
TA epoch 11      0.0403             0.0400           0.0399              0.0406                0.0407              0.0410                  0.2206                    0.2295
VL epoch 11      5.5905             5.5904           5.5998              5.5725                5.5885              5.5874                  4.2723                    4.2659
VA epoch 11      0.0158             0.0157           0.0156              0.0158                0.0161              0.0160                  0.1588                    0.1618


TL epoch 12     5.3033              5.2984           5.3352              5.2636                5.3097              5.2935                  3.8079                    3.7860
TA epoch 12     0.0407              0.0409           0.0402              0.0470                0.0410              0.0434                  0.2403                    0.2505
VL epoch 12     5.5677              5.5658           5.5869              5.5356                5.5720              5.5627                  4.1513                    4.1232
VA epoch 12     0.0163              0.0172           0.0156              0.0353                0.0166              0.0196                  0.1744                    0.1851


TL epoch 13     5.2542              5.2462           5.3136              5.1862                5.2628              5.2359                  3.6859                    3.6461
TA epoch 13     0.0461              0.0510           0.0406              0.0561                0.0508              0.0577                  0.2598                    0.2722
VL epoch 13     5.5316              5.5329           5.5819              5.4646                5.5355              5.5234                  4.0229                    3.9785
VA epoch 13     0.0356              0.0368           0.0159              0.0369                0.0360              0.0364                  0.1961                    0.2019 


TL epoch 14     5.1811             5.1754            5.2743              5.0766                5.1884              5.1638                  3.5580                    3.4957
TA epoch 14     0.0595             0.0606            0.0444              0.0616                0.0596              0.0624                  0.2821                    0.2955
VL epoch 14     5.4716             5.4819            5.5530              5.3745                5.4807              5.4709                  3.9021                    3.8279
VA epoch 14     0.0363             0.0372            0.0351              0.0387                0.0372              0.0401                  0.2138                    0.2292


TL epoch 15     5.0833             5.0913            5.2128              4.9628                5.1000              5.0785                  3.4305                    3.3740
TA epoch 15     0.0626             0.0645            0.0590              0.0705                0.0617              0.0701                  0.3108                    0.3186
VL epoch 15     5.3855             5.4020            5.5054              5.2819                5.4028              5.3972                  3.7616                    3.6748
VA epoch 15     0.0408             0.0398            0.0386              0.0472                0.0385              0.0463                  0.2424                    0.2515


TL epoch 16     4.9776             4.9918            5.1299              4.8538                4.9931              4.9848                  3.2953                    3.5941
TA epoch 16     0.0727             0.0724            0.0630              0.0852                0.0699              0.0788                  0.3402                    0.2927
VL epoch 16     5.2961             5.3104            5.4318              5.1796                5.3070              5.3077                  3.6110                    3.6828
VA epoch 16     0.0474             0.0424            0.0389              0.0505                0.0493              0.0491                  0.2783                    0.2616


