-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                       aten::layer_norm         0.00%     145.090us         0.53%      48.906ms       2.877ms           0 b           0 b     320.00 Mb           0 b            17  
                                aten::native_layer_norm         0.03%       2.452ms         0.53%      48.761ms       2.868ms           0 b           0 b     320.00 Mb           0 b            17  
                                            aten::empty         1.06%      97.324ms         1.13%     103.386ms       5.270us      18.31 Gb      18.31 Gb     190.35 Gb     190.35 Gb         19619  
                                       cudaLaunchKernel        44.25%        4.064s        44.25%        4.064s     112.674us           0 b           0 b           0 b           0 b         36072  
                                             aten::view         0.01%       1.058ms         0.01%       1.058ms       2.972us           0 b           0 b           0 b           0 b           356  
                                           aten::linear         0.01%       1.226ms         2.09%     191.719ms       2.229ms           0 b           0 b       1.20 Gb           0 b            86  
                                               aten::to         0.01%     714.322us         1.26%     116.154ms     226.863us      18.75 Mb           0 b       1.83 Gb           0 b           512  
                                         aten::_to_copy         0.03%       2.397ms         1.26%     115.440ms     363.018us      18.75 Mb           0 b       1.83 Gb           0 b           318  
                                    aten::empty_strided         0.04%       3.467ms         0.23%      21.358ms      38.975us      18.75 Mb      18.75 Mb       3.16 Gb       3.16 Gb           548  
                                            aten::copy_         1.00%      91.817ms         8.77%     805.234ms      40.914us           0 b           0 b           0 b           0 b         19681  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 9.185s
