-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                       aten::layer_norm         0.00%     142.548us         0.16%      16.112ms     947.761us           0 b           0 b     320.00 Mb           0 b            17  
                                aten::native_layer_norm         0.02%       2.016ms         0.16%      15.969ms     939.376us           0 b           0 b     320.00 Mb           0 b            17  
                                            aten::empty         1.08%     106.276ms         1.13%     110.986ms       5.658us      18.31 Gb      18.31 Gb     190.35 Gb     190.35 Gb         19616  
                                       cudaLaunchKernel        42.09%        4.128s        42.09%        4.128s     114.433us           0 b           0 b           0 b           0 b         36070  
                                             aten::view         0.01%       1.110ms         0.01%       1.110ms       3.127us           0 b           0 b           0 b           0 b           355  
                                           aten::linear         0.01%       1.403ms         1.95%     191.115ms       2.222ms           0 b           0 b       1.20 Gb           0 b            86  
                                               aten::to         0.01%     511.924us         0.84%      82.200ms     160.548us      18.75 Mb           0 b       1.82 Gb           0 b           512  
                                         aten::_to_copy         0.03%       2.590ms         0.83%      81.689ms     256.882us      18.75 Mb           0 b       1.82 Gb           0 b           318  
                                    aten::empty_strided         0.04%       3.499ms         0.30%      29.199ms      53.282us      18.75 Mb      18.75 Mb       3.16 Gb       3.16 Gb           548  
                                            aten::copy_         1.02%      99.958ms         9.23%     905.244ms      45.996us           0 b           0 b           0 b           0 b         19681  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 9.808s
