-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                       aten::layer_norm         0.00%      89.525us         0.13%      11.868ms     912.951us           0 b           0 b     244.70 Mb           0 b            13  
                                aten::native_layer_norm         0.02%       2.248ms         0.13%      11.779ms     906.064us           0 b           0 b     244.70 Mb           0 b            13  
                                            aten::empty         1.06%      95.789ms         1.22%     110.177ms       5.643us      18.31 Gb      18.31 Gb     190.37 Gb     190.37 Gb         19524  
                                       cudaLaunchKernel        42.97%        3.891s        42.97%        3.891s     108.535us           0 b           0 b           0 b           0 b         35849  
                                             aten::view         0.01%     899.712us         0.01%     899.712us       2.751us           0 b           0 b           0 b           0 b           327  
                                           aten::linear         0.01%       1.065ms         1.85%     167.080ms       1.943ms           0 b           0 b       1.20 Gb           0 b            86  
                                               aten::to         0.01%     670.151us         0.61%      55.680ms     139.200us      18.75 Mb           0 b       1.62 Gb           0 b           400  
                                         aten::_to_copy         0.02%       1.815ms         0.61%      55.010ms     216.575us      18.75 Mb           0 b       1.62 Gb           0 b           254  
                                    aten::empty_strided         0.03%       2.527ms         0.16%      14.747ms      33.822us      18.75 Mb      18.75 Mb       2.92 Gb       2.92 Gb           436  
                                            aten::copy_         1.01%      91.374ms         8.84%     800.967ms      40.864us           0 b           0 b           0 b           0 b         19601  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 9.056s
