-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                       aten::layer_norm         0.00%     176.242us         0.16%      24.852ms       1.183ms           0 b           0 b     395.29 Mb           0 b            21  
                                aten::native_layer_norm         0.01%       1.621ms         0.16%      24.676ms       1.175ms           0 b           0 b     395.29 Mb           0 b            21  
                                            aten::empty         1.20%     185.145ms         1.31%     200.715ms      10.180us      18.31 Gb      18.31 Gb     191.20 Gb     191.20 Gb         19716  
                                       cudaLaunchKernel        44.99%        6.920s        44.99%        6.920s     175.818us           0 b           0 b           0 b           0 b         39357  
                                             aten::view         0.02%       2.666ms         0.02%       2.666ms       6.158us           0 b           0 b           0 b           0 b           433  
                                           aten::linear         0.02%       2.334ms         1.75%     268.881ms       2.537ms           0 b           0 b       1.51 Gb           0 b           106  
                                               aten::to         0.01%       1.114ms         0.92%     141.211ms     224.858us      18.75 Mb           0 b       2.31 Gb           0 b           628  
                                         aten::_to_copy         0.04%       5.822ms         0.91%     140.097ms     357.391us      18.75 Mb           0 b       2.31 Gb           0 b           392  
                                    aten::empty_strided         0.05%       7.255ms         0.19%      28.510ms      42.175us      18.75 Mb      18.75 Mb       3.97 Gb       3.97 Gb           676  
                                            aten::copy_         1.25%     192.443ms        12.90%        1.984s     100.287us           0 b           0 b           0 b           0 b         19780  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 15.380s
