-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                       aten::layer_norm         0.00%     153.234us         0.14%      14.097ms     829.255us           0 b           0 b     320.00 Mb           0 b            17  
                                aten::native_layer_norm         0.02%       1.879ms         0.14%      13.944ms     820.241us           0 b           0 b     320.00 Mb           0 b            17  
                                            aten::empty         1.10%     107.920ms         1.21%     117.985ms       6.005us      18.31 Gb      18.31 Gb     190.74 Gb     190.74 Gb         19647  
                                       cudaLaunchKernel        43.50%        4.259s        43.50%        4.259s     108.842us           0 b           0 b           0 b           0 b         39128  
                                             aten::view         0.01%       1.060ms         0.01%       1.060ms       2.888us           0 b           0 b           0 b           0 b           367  
                                           aten::linear         0.01%       1.126ms         2.13%     208.511ms       2.317ms           0 b           0 b       1.27 Gb           0 b            90  
                                               aten::to         0.00%     472.987us         0.82%      80.530ms     152.519us      18.75 Mb           0 b       1.90 Gb           0 b           528  
                                         aten::_to_copy         0.02%       2.161ms         0.82%      80.057ms     244.076us      18.75 Mb           0 b       1.90 Gb           0 b           328  
                                    aten::empty_strided         0.03%       3.217ms         0.12%      11.744ms      20.713us      18.75 Mb      18.75 Mb       3.36 Gb       3.36 Gb           567  
                                            aten::copy_         1.07%     105.157ms         9.32%     912.602ms      46.318us           0 b           0 b           0 b           0 b         19703  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 9.791s
