Epoch,TL (a),TA (a),VL (a),VA (a),TL (g),TA (g),VL (g),VA (g)
1,5.8046,0.0323,5.6731,0.0111,5.7938,0.0342,5.6703,0.0111
2,5.4051,0.0349,5.6249,0.0118,5.3526,0.0392,5.5746,0.0325
3,5.3857,0.0380,5.6224,0.0151,5.1877,0.0646,5.4559,0.0520
4,5.3756,0.0390,5.6123,0.0151,5.0103,0.0867,5.2911,0.0569
5,5.3697,0.0391,5.6119,0.0150,4.8210,0.1033,5.1159,0.0655
6,5.3656,0.0391,5.6116,0.0147,4.6349,0.1226,4.9438,0.0838
7,5.3621,0.0393,5.6053,0.0153,4.4670,0.1458,4.7887,0.0998
8,5.3577,0.0395,5.5970,0.0159,4.3083,0.1669,4.6359,0.1177
9,5.3534,0.0402,5.5973,0.0163,4.1697,0.1835,4.5135,0.1319
10,5.3467,0.0404,5.5973,0.0158,4.0476,0.2044,4.3919,0.1472
11,5.3309,0.0403,5.5905,0.0158,3.9284,0.2206,4.2723,0.1588
12,5.3033,0.0407,5.5677,0.0163,3.8079,0.2403,4.1513,0.1744
13,5.2542,0.0461,5.5316,0.0356,3.6859,0.2598,4.0229,0.1961
14,5.1811,0.0595,5.4716,0.0363,3.5580,0.2821,3.9021,0.2138
15,5.0833,0.0626,5.3855,0.0408,3.4305,0.3108,3.7616,0.2424
16,4.9776,0.0727,5.2961,0.0474,3.2953,0.3402,3.6110,0.2783
17,4.8835,0.0876,5.2133,0.0575,3.1542,0.3728,3.4743,0.3039
18,4.7901,0.0999,5.1201,0.0674,3.0217,0.4052,3.3318,0.3382
19,4.6919,0.1137,5.0237,0.0731,2.8851,0.4343,3.1833,0.3722
20,4.5886,0.1288,4.9240,0.0801,2.7503,0.4630,3.0453,0.3972
21,4.4805,0.1391,4.8268,0.0855,2.6181,0.4919,2.9108,0.4273
22,4.3817,0.1478,4.7224,0.0947,2.4915,0.5191,2.7670,0.4562
23,4.2745,0.1615,4.6239,0.1086,2.3567,0.5486,2.6307,0.4948
24,4.1814,0.1733,4.5295,0.1183,2.2391,0.5782,2.5084,0.5301
25,4.0929,0.1841,4.4495,0.1220,2.1574,0.6030,2.3853,0.5663
26,4.0177,0.1913,4.3768,0.1354,2.5174,0.5484,2.3991,0.5704
