-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                       aten::layer_norm         0.00%     112.702us         0.14%      14.869ms     874.635us           0 b           0 b     320.00 Mb           0 b            17  
                                aten::native_layer_norm         0.02%       1.848ms         0.14%      14.756ms     868.005us           0 b           0 b     320.00 Mb           0 b            17  
                                            aten::empty         1.20%     129.048ms         1.24%     133.682ms       6.814us      18.31 Gb      18.31 Gb     190.39 Gb     190.39 Gb         19619  
                                       cudaLaunchKernel        42.43%        4.557s        42.43%        4.557s     126.343us           0 b           0 b           0 b           0 b         36072  
                                             aten::view         0.01%       1.151ms         0.01%       1.151ms       3.232us           0 b           0 b           0 b           0 b           356  
                                           aten::linear         0.01%       1.209ms         1.39%     149.527ms       1.739ms           0 b           0 b       1.20 Gb           0 b            86  
                                               aten::to         0.01%     584.228us         0.69%      74.295ms     145.108us      18.75 Mb           0 b       1.89 Gb           0 b           512  
                                         aten::_to_copy         0.03%       2.826ms         0.69%      73.711ms     231.795us      18.75 Mb           0 b       1.89 Gb           0 b           318  
                                    aten::empty_strided         0.04%       3.821ms         0.10%      11.071ms      20.202us      18.75 Mb      18.75 Mb       3.27 Gb       3.27 Gb           548  
                                            aten::copy_         1.17%     125.441ms        10.67%        1.146s      58.223us           0 b           0 b           0 b           0 b         19681  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 10.741s
