-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                       aten::layer_norm         0.01%     853.987us         0.40%      41.081ms       1.643ms           0 b           0 b     470.58 Mb           0 b            25  
                                aten::native_layer_norm         0.04%       3.765ms         0.39%      40.227ms       1.609ms           0 b           0 b     470.58 Mb           0 b            25  
                                            aten::empty         1.13%     116.864ms         1.27%     131.111ms       6.645us      18.31 Gb      18.31 Gb     190.70 Gb     190.70 Gb         19730  
                                       cudaLaunchKernel        43.43%        4.498s        43.43%        4.498s     113.791us           0 b           0 b           0 b           0 b         39531  
                                             aten::view         0.02%       1.819ms         0.02%       1.819ms       3.406us           0 b           0 b           0 b           0 b           534  
                                           aten::linear         0.02%       2.145ms         2.86%     296.654ms       2.432ms           0 b           0 b       1.74 Gb           0 b           122  
                                               aten::to         0.01%     817.907us         0.89%      92.695ms     127.328us      18.75 Mb           0 b       1.84 Gb           0 b           728  
                                         aten::_to_copy         0.03%       3.578ms         0.89%      91.877ms     201.485us      18.75 Mb           0 b       1.84 Gb           0 b           456  
                                    aten::empty_strided         0.05%       5.564ms         0.38%      38.959ms      49.629us      18.75 Mb      18.75 Mb       3.15 Gb       3.15 Gb           785  
                                            aten::copy_         1.13%     116.590ms         9.04%     936.295ms      47.283us           0 b           0 b           0 b           0 b         19802  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 10.357s
