-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                       aten::layer_norm         0.00%     184.769us         0.17%      18.164ms     726.577us           0 b           0 b     470.58 Mb           0 b            25  
                                aten::native_layer_norm         0.03%       2.929ms         0.17%      17.980ms     719.187us           0 b           0 b     470.58 Mb           0 b            25  
                                            aten::empty         1.24%     130.414ms         1.30%     136.786ms       6.914us      18.31 Gb      18.31 Gb     191.32 Gb     191.32 Gb         19785  
                                       cudaLaunchKernel        41.75%        4.376s        41.75%        4.376s     110.541us           0 b           0 b           0 b           0 b         39586  
                                             aten::view         0.02%       1.592ms         0.02%       1.592ms       3.190us           0 b           0 b           0 b           0 b           499  
                                           aten::linear         0.02%       1.778ms         2.60%     272.879ms       2.237ms           0 b           0 b       1.74 Gb           0 b           122  
                                               aten::to         0.01%       1.065ms         0.91%      94.971ms     130.454us      18.75 Mb           0 b       2.13 Gb           0 b           728  
                                         aten::_to_copy         0.03%       3.566ms         0.90%      93.905ms     205.933us      18.75 Mb           0 b       2.13 Gb           0 b           456  
                                    aten::empty_strided         0.05%       5.496ms         0.18%      18.362ms      23.391us      18.75 Mb      18.75 Mb       3.62 Gb       3.62 Gb           785  
                                            aten::copy_         1.23%     128.895ms         9.25%     969.677ms      48.833us           0 b           0 b           0 b           0 b         19857  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 10.482s
