-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                       aten::layer_norm         0.00%     186.922us         0.35%      35.735ms       1.429ms           0 b           0 b     470.58 Mb           0 b            25  
                                aten::native_layer_norm         0.02%       2.327ms         0.35%      35.548ms       1.422ms           0 b           0 b     470.58 Mb           0 b            25  
                                            aten::empty         1.07%     109.006ms         1.30%     132.780ms       6.710us      18.31 Gb      18.31 Gb     191.64 Gb     191.64 Gb         19789  
                                       cudaLaunchKernel        45.65%        4.669s        45.65%        4.669s     117.927us           0 b           0 b           0 b           0 b         39589  
                                             aten::view         0.02%       1.751ms         0.02%       1.751ms       3.496us           0 b           0 b           0 b           0 b           501  
                                           aten::linear         0.02%       1.777ms         2.69%     274.665ms       2.251ms           0 b           0 b       1.74 Gb           0 b           122  
                                               aten::to         0.01%     868.907us         1.68%     171.453ms     235.190us      18.75 Mb           0 b       2.71 Gb           0 b           729  
                                         aten::_to_copy         0.03%       3.558ms         1.67%     170.584ms     373.270us      18.75 Mb           0 b       2.71 Gb           0 b           457  
                                    aten::empty_strided         0.05%       5.403ms         0.24%      24.593ms      31.289us      18.75 Mb      18.75 Mb       4.57 Gb       4.57 Gb           786  
                                            aten::copy_         1.04%     106.823ms         9.00%     920.582ms      46.358us           0 b           0 b           0 b           0 b         19858  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 10.227s
